Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
18,arrivé,come
19,devrait,should
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,aucune,any
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,voici,here is
32,pourrais,could
33,donner,give
35,leurs,their
36,donné,given
37,train,train
38,corps,body
39,endroit,place
40,yeux,eyes
41,écoute,listen
42,dont,whose
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,vieux,old
50,sois,be
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,pardon,sorry
59,venez,come
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
68,enfin,finally
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,fin,end
79,chérie,sweetheart
80,gros,large
82,aura,will have
83,filles,girls
84,jouer,to play
85,bureau,office
